Country,2016,2017,2018,2019,2020,2021,2022,type
Australia,0.57,1.4,1.78,6.2,5.16,16.94,32.96,BATTERY ELECTRIC VEHICLES
Australia,0.84,0.99,2.17,2.83,1.29,4.2,7.15,PLUG-IN HYBRID ELECTRIC VEHICLES
Austria,3.81,5.4,6.77,9.24,15.96,33.38,33.77,BATTERY ELECTRIC VEHICLES
Austria,1.18,1.82,2.13,2.77,7.76,14.63,13.27,PLUG-IN HYBRID ELECTRIC VEHICLES
Belgium,2.22,2.95,4.04,8.89,15,21.98,37.82,BATTERY ELECTRIC VEHICLES
Belgium,7.12,11.65,9.44,8.83,33.01,48.45,60.54,PLUG-IN HYBRID ELECTRIC VEHICLES
Bulgaria,0.01,0.01,0.14,0.19,0.28,0.55,1.02,BATTERY ELECTRIC VEHICLES
Bulgaria,,0.05,0.08,0.09,0.28,0.27,0.46,PLUG-IN HYBRID ELECTRIC VEHICLES
Croatia,0.05,0.01,0.13,0.24,0.53,1.47,1.31,BATTERY ELECTRIC VEHICLES
Croatia,0.03,0.02,0.01,0.12,0.14,0.4,0.77,PLUG-IN HYBRID ELECTRIC VEHICLES
Czechia,0.22,0.4,0.75,0.81,3.26,2.77,4,BATTERY ELECTRIC VEHICLES
Czechia,0.13,0.24,0.24,0.48,1.95,3.72,3.51,PLUG-IN HYBRID ELECTRIC VEHICLES
Denmark,1.22,0.71,1.5,5.49,14.19,24.83,30.72,BATTERY ELECTRIC VEHICLES
Denmark,0.16,0.24,3.18,3.82,18.34,40.46,26.43,PLUG-IN HYBRID ELECTRIC VEHICLES
Estonia,0.05,0.03,0.1,0.08,0.36,0.5,0.71,BATTERY ELECTRIC VEHICLES
Estonia,0.01,0.03,0.04,0.02,0.07,0.16,0.42,PLUG-IN HYBRID ELECTRIC VEHICLES
Finland,0.23,0.52,0.81,1.9,4.24,10.15,14.53,BATTERY ELECTRIC VEHICLES
Finland,1.2,2.52,4.89,5.98,13.23,20.16,16.17,PLUG-IN HYBRID ELECTRIC VEHICLES
